Station	Lat	Lon	State
US10adam001	40.568	-98.5069	NE
US10adam002	40.5093	-98.5493	NE
US10adam003	40.4663	-98.6537	NE
US10adam004	40.4798	-98.4026	NE
US10adam006	40.4372	-98.5912	NE
US10adam007	40.5389	-98.4713	NE
US10adam008	40.4953	-98.2973	NE
US10adam010	40.5532	-98.6297	NE
US10adam011	40.4078	-98.6161	NE
US10adam012	40.62	-98.39	NE
US10adam013	40.66	-98.42	NE
US10adam015	40.6258	-98.7034	NE
US10adam016	40.64	-98.3949	NE
US10adam017	40.6567	-98.4789	NE
US10adam019	40.6114	-98.5543	NE
US10adam022	40.5936	-98.4299	NE
US10adam023	40.5981	-98.4732	NE
US10adam024	40.3901	-98.2715	NE
US10adam025	40.6004	-98.3986	NE
US10adam027	40.5998	-98.4723	NE
US10adam028	40.4653	-98.6517	NE
US10adam029	40.5536	-98.3166	NE
US10adam032	40.3571	-98.4208	NE
US10adam033	40.4127	-98.3538	NE
US10adam034	40.6129	-98.6482	NE
US10adam035	40.607	-98.4588	NE
US10adam036	40.5609	-98.402	NE
US10adam039	40.602	-98.4048	NE
US10adam041	40.434	-98.4389	NE
US10adam043	40.5917	-98.5092	NE
US10adam045	40.6121	-98.3888	NE
US10adam046	40.5443	-98.4208	NE
US10adam047	40.5917	-98.4287	NE
US10adam051	40.4166	-98.5341	NE
US10adam056	40.58	-98.3717	NE
US10adam057	40.6607	-98.5535	NE
US10ante003	42.3374	-98.2405	NE
US10arth002	41.3955	-101.4074	NE
US10bann001	41.6581	-103.6151	NE
US10bann005	41.6415	-103.9481	NE
US10bann006	41.5589	-103.7407	NE
US10bann007	41.5037	-103.7634	NE
US10bann008	41.6363	-103.6842	NE
US10bann009	41.6804	-103.6852	NE
US10blai001	41.9138	-99.9644	NE
US10blai003	41.7609	-100.2353	NE
US10blai004	41.9043	-100.2657	NE
US10blai005	42.0189	-100.1227	NE
US10blai006	42.0715	-100.0649	NE
US10blai008	41.803	-100.2225	NE
US10blai010	41.9224	-99.7449	NE
US10blai011	41.8838	-100.174	NE
US10blai012	41.8194	-100.1071	NE
US10boon002	41.5249	-97.9933	NE
US10boon003	41.7571	-98.2343	NE
US10boon004	41.684	-97.9872	NE
US10boon005	41.6402	-97.9951	NE
US10boon006	41.502	-98.158	NE
US10boon007	41.8655	-98.2295	NE
US10boon008	41.6273	-98.2379	NE
US10boon009	41.6685	-97.8945	NE
US10boon010	41.6689	-98.1166	NE
US10boon011	41.8518	-98.0448	NE
US10box_001	42.1911	-102.9518	NE
US10box_003	42.017	-102.9953	NE
US10box_004	42.1486	-102.749	NE
US10box_005	42.3195	-103.0705	NE
US10box_006	42.3653	-102.9952	NE
US10box_007	42.1675	-102.8005	NE
US10box_008	42.2712	-103.141	NE
US10box_009	42.3968	-102.8848	NE
US10box_010	42.116	-103.4295	NE
US10box_013	42.1138	-102.8901	NE
US10box_014	42.2981	-102.8596	NE
US10box_020	42.3167	-103.0787	NE
US10box_023	42.4093	-102.7894	NE
US10box_024	42.3263	-102.9934	NE
US10box_030	42.2357	-103.3072	NE
US10boyd002	42.9095	-98.8492	NE
US10boyd003	42.9141	-98.6603	NE
US10boyd005	42.9096	-98.8428	NE
US10brow001	42.5359	-99.7092	NE
US10brow003	42.636	-100.015	NE
US10brow004	42.5375	-100.1208	NE
US10brow005	42.6748	-99.7695	NE
US10brow006	42.5718	-100.0545	NE
US10brow007	42.6988	-100.0668	NE
US10brow008	42.3248	-100.061	NE
US10brow009	42.3171	-100.0112	NE
US10buff001	40.7826	-99.1023	NE
US10buff002	40.7062	-99.1142	NE
US10buff003	40.9445	-98.8465	NE
US10buff004	40.6908	-99.094	NE
US10buff005	40.8588	-98.9216	NE
US10buff006	40.9223	-99.3868	NE
US10buff007	40.9903	-98.8699	NE
US10buff008	40.9593	-98.9631	NE
US10buff010	40.9789	-99.0637	NE
US10buff011	40.7725	-98.7306	NE
US10buff012	40.7494	-98.8479	NE
US10buff013	40.6995	-99.4062	NE
US10buff015	40.8477	-99.3277	NE
US10buff017	40.7236	-99.1035	NE
US10buff018	40.665	-99.0852	NE
US10buff019	40.9728	-98.8024	NE
US10buff020	40.7407	-99.0647	NE
US10buff025	40.7412	-99.1602	NE
US10buff034	40.8144	-98.8403	NE
US10buff036	40.7853	-99.1653	NE
US10buff039	40.8153	-98.8355	NE
US10burt001	41.7267	-96.1557	NE
US10burt002	41.6965	-96.3619	NE
US10burt003	41.8593	-96.4701	NE
US10burt004	41.7859	-96.4065	NE
US10butl003	41.1229	-97.367	NE
US10butl004	41.219	-97.349	NE
US10butl005	41.185	-97.2542	NE
US10butl008	41.158	-96.9952	NE
US10butl010	41.2963	-97.3493	NE
US10butl011	41.3221	-97.3465	NE
US10butl013	41.3565	-97.2356	NE
US10butl015	41.0706	-97.3672	NE
US10butl020	41.2557	-97.1301	NE
US10cass001	40.9946	-95.8976	NE
US10cass005	40.865	-96.1171	NE
US10cass010	40.8048	-96.4467	NE
US10cass011	41.0289	-95.9874	NE
US10ceda001	42.628	-97.27	NE
US10ceda002	42.7652	-97.3027	NE
US10ceda003	42.4974	-97.4279	NE
US10ceda004	42.6983	-97.4464	NE
US10ceda005	42.8151	-97.4648	NE
US10ceda006	42.4971	-97.2691	NE
US10ceda008	42.6702	-97.1716	NE
US10ceda009	42.5654	-97.1363	NE
US10ceda010	42.7432	-97.1706	NE
US10ceda011	42.8013	-97.368	NE
US10ceda012	42.5044	-97.2076	NE
US10ceda013	42.6702	-97.1716	NE
US10ceda014	42.3951	-97.0319	NE
US10ceda015	42.3722	-97.3592	NE
US10ceda016	42.5973	-97.022	NE
US10ceda017	42.6787	-97.4261	NE
US10ceda020	42.7043	-97.3915	NE
US10ceda021	42.8092	-97.2482	NE
US10ceda026	42.7285	-97.2466	NE
US10chas001	40.5158	-101.6451	NE
US10chas002	40.4629	-101.5907	NE
US10chas003	40.4085	-101.6227	NE
US10chas004	40.6257	-101.5369	NE
US10chas005	40.5495	-101.7773	NE
US10chas006	40.4949	-101.8424	NE
US10chas007	40.629	-101.9119	NE
US10chas008	40.5493	-101.9893	NE
US10chas009	40.6615	-101.4202	NE
US10chas010	40.5253	-101.6226	NE
US10chas011	40.5667	-101.7244	NE
US10chas012	40.4836	-101.9051	NE
US10chas013	40.6768	-101.9156	NE
US10chas016	40.5227	-101.9864	NE
US10chas017	40.6122	-101.3454	NE
US10chas018	40.5089	-101.3614	NE
US10chas019	40.5059	-101.4966	NE
US10chas021	40.4253	-101.4242	NE
US10chas023	40.6832	-101.6432	NE
US10chas024	40.3657	-101.4365	NE
US10chas025	40.4213	-101.7182	NE
US10chas026	40.6249	-101.7822	NE
US10chas027	40.4702	-101.748	NE
US10chas028	40.4688	-101.541	NE
US10chas029	40.4434	-101.7821	NE
US10chas030	40.5789	-101.4193	NE
US10chas031	40.3793	-101.5415	NE
US10chas032	40.3773	-101.855	NE
US10chas033	40.393	-101.7795	NE
US10chas034	40.4309	-101.4868	NE
US10chas035	40.6539	-101.4379	NE
US10chas036	40.6376	-101.4573	NE
US10chas037	40.4152	-101.3746	NE
US10cher001	42.3495	-101.1024	NE
US10cher004	42.1461	-100.5307	NE
US10cher005	42.872	-100.5448	NE
US10cher006	42.3039	-100.2193	NE
US10cher007	42.942	-100.71	NE
US10cher008	42.9975	-100.2211	NE
US10cher009	42.4568	-100.5756	NE
US10cher010	42.198	-101.777	NE
US10cher011	42.6624	-100.4779	NE
US10cher012	42.4781	-100.9129	NE
US10cher013	42.3536	-100.6312	NE
US10cher014	42.293	-100.3597	NE
US10cher016	42.9375	-101.2438	NE
US10cher017	42.7032	-100.6163	NE
US10cher018	42.9955	-101.7119	NE
US10cher019	42.8679	-101.4056	NE
US10cher022	42.9816	-100.5682	NE
US10cher023	42.6315	-100.6702	NE
US10cher024	42.82	-101.2825	NE
US10cher025	42.6558	-100.2688	NE
US10cher026	42.4186	-101.557	NE
US10cher027	42.8978	-101.2733	NE
US10cher028	42.8151	-101.613	NE
US10cher032	42.6638	-100.6651	NE
US10chey002	41.2638	-102.8855	NE
US10chey003	41.4098	-102.972	NE
US10chey004	41.1548	-103.1077	NE
US10chey005	41.04	-102.96	NE
US10chey007	41.127	-102.97	NE
US10chey008	41.1491	-102.6355	NE
US10chey009	41.1059	-102.8108	NE
US10chey010	41.3766	-103.0495	NE
US10chey012	41.2225	-102.726	NE
US10chey013	41.2369	-102.8361	NE
US10chey014	41.3945	-103.0327	NE
US10chey015	41.2922	-102.8016	NE
US10chey016	41.414	-102.695	NE
US10chey017	41.2098	-103.2978	NE
US10chey018	41.3722	-103.1112	NE
US10chey019	41.3264	-102.9948	NE
US10chey021	41.1554	-102.9844	NE
US10chey022	41.1271	-102.9594	NE
US10chey024	41.4188	-102.9737	NE
US10chey025	41.1289	-102.9701	NE
US10chey026	41.2586	-103.2644	NE
US10chey027	41.1772	-103.2022	NE
US10chey028	41.0317	-102.9277	NE
US10chey029	41.3956	-103.3643	NE
US10chey030	41.3903	-103.2967	NE
US10chey031	41.175	-102.6462	NE
US10chey032	41.0675	-102.6314	NE
US10chey033	41.0246	-103.2684	NE
US10chey034	41.2661	-102.9896	NE
US10chey035	41.118	-103.1154	NE
US10chey036	41.1334	-103.2254	NE
US10chey037	41.0622	-103.2221	NE
US10chey038	41.2362	-102.6945	NE
US10chey040	41.3504	-103.2507	NE
US10chey041	41.202	-103.163	NE
US10chey045	41.2807	-102.9306	NE
US10chey046	41.189	-103.2204	NE
US10chey047	41.0054	-102.9378	NE
US10chey049	41.0492	-103.1975	NE
US10chey053	41.0856	-102.6689	NE
US10chey056	41.3499	-102.8094	NE
US10chey060	41.1339	-102.9777	NE
US10clay002	40.3504	-97.897	NE
US10clay004	40.5318	-98.107	NE
US10clay005	40.4019	-97.9945	NE
US10clay007	40.5099	-98.2439	NE
US10clay008	40.4549	-98.0329	NE
US10clay009	40.6115	-98.2773	NE
US10clay012	40.6698	-98.1668	NE
US10clay013	40.4615	-98.0694	NE
US10clay015	40.6114	-97.8523	NE
US10clay017	40.4517	-97.9066	NE
US10clay018	40.526	-98.0537	NE
US10clay019	40.5402	-98.2414	NE
US10clay020	40.5245	-98.1652	NE
US10clay021	40.4813	-98.1273	NE
US10clay023	40.4473	-98.0466	NE
US10clay024	40.6942	-98.0532	NE
US10clay025	40.4224	-98.2226	NE
US10clay027	40.4522	-98.2156	NE
US10clay029	40.4086	-98.1087	NE
US10clay037	40.5967	-97.8673	NE
US10clay039	40.6236	-98.0925	NE
US10clay041	40.5199	-98.0526	NE
US10clay044	40.6101	-97.8621	NE
US10colf001	41.7014	-97.0731	NE
US10colf002	41.5837	-97.0027	NE
US10colf003	41.596	-97.1614	NE
US10colf005	41.4186	-97.2521	NE
US10cumi002	41.8049	-96.6907	NE
US10cumi003	41.8664	-96.7995	NE
US10cumi005	41.9103	-96.6379	NE
US10cumi006	41.9826	-96.9095	NE
US10cumi007	41.82	-96.71	NE
US10cumi008	41.9301	-96.8078	NE
US10cumi009	42.0028	-96.5717	NE
US10cumi010	41.7973	-96.7926	NE
US10cumi011	42.0045	-96.7088	NE
US10cumi012	42.0149	-96.5756	NE
US10cust001	41.1325	-99.7503	NE
US10cust002	41.6544	-99.4623	NE
US10cust003	41.4206	-100.1929	NE
US10cust004	41.1492	-100.1954	NE
US10cust005	41.2685	-99.5322	NE
US10cust007	41.2891	-99.3739	NE
US10cust008	41.5246	-99.716	NE
US10cust009	41.5285	-99.8369	NE
US10cust010	41.1759	-99.6131	NE
US10cust011	41.5008	-100.0225	NE
US10cust012	41.6293	-99.9052	NE
US10cust013	41.689	-99.9324	NE
US10cust014	41.5419	-100.0685	NE
US10cust015	41.7171	-99.9848	NE
US10cust016	41.6	-99.7523	NE
US10cust017	41.2252	-99.6644	NE
US10cust020	41.2793	-100.1589	NE
US10cust021	41.4517	-99.9745	NE
US10cust022	41.409	-99.4638	NE
US10cust027	41.7346	-99.6987	NE
US10cust028	41.6399	-99.3898	NE
US10cust029	41.5562	-99.2362	NE
US10cust032	41.4189	-99.8858	NE
US10cust035	41.5661	-100.0212	NE
US10cust039	41.2888	-99.9237	NE
US10cust040	41.2868	-99.7077	NE
US10cust041	41.4004	-99.5844	NE
US10cust042	41.6273	-99.741	NE
US10cust045	41.412	-99.6378	NE
US10cust046	41.4816	-99.8928	NE
US10dako002	42.3484	-96.6192	NE
US10dako003	42.3882	-96.5916	NE
US10dawe001	42.8292	-102.9939	NE
US10dawe002	42.8304	-102.9956	NE
US10dawe003	42.7696	-103.0213	NE
